VideoID,StartTime,EndTime,labelID
video026,4420,5342,BNU
video026,5342,5490.103,etc
video027,0,532,etc
video027,532,1098,BN
video027,1098,1287,PA
video027,1287,1496,SVVD
video027,1496,1634,PA
video027,1634,1728,etc
video027,1728,2529,BNU
video027,2529,2648.700227,etc
video028,0,76,etc
video028,76,223,BN
video028,223,741,SVVD
video028,741,1348,NVB
video028,1348,1469,PA
video028,1469,2006.46,BNU
video029,0,179,BN
video029,179,773,SVVD
video029,773,1592,NVB
video029,1592,1640,PA
video029,1640,1678,etc
video029,1678,2233,BNU
video029,2233,2440.812,etc
video030,0,715,etc
video030,715,1013,BN
video030,1013,1456,SVVD
video030,1456,3020,etc
video030,3020,3318,PA
video030,3318,4568,BNU
video030,4568,4672.296054,etc
video032,0,140,etc
video032,140,399,BN
video032,399,729,SVVD
video032,729,1028,etc
video032,1028,1196,DVC
video032,1196,1484,etc
video032,1484,2449.960635,BNU
video033,0,268,etc
video033,268,686,BN
video033,686,1537,SVVD
video033,1537,1737,etc
video033,1737,2527,PA
video033,2527,2738,etc
video033,2738,3019,PA
video033,3019,3916.99737,BNU
video034,0,353,etc
video034,353,588,BN
video034,588,1092,SVVD
video034,1092,1395,PA
video034,1395,2271.817143,BNU
video035,0,158,etc
video035,158,688,SVVD
video035,688,1803,etc
video035,1803,2018,BN
video035,2018,2568,etc
video035,2568,2686,PA
video035,2686,2798,etc
video035,2798,3166,BNU
video035,3166,3252.698,etc
video036,0,282,etc
video036,282,394,BN
video036,394,897,SVVD
video036,897,934,NVB
video036,934,1072,PA
video036,1072,1517.981315,BNU
video037,0,1357,etc
video037,1357,1772,BN
video037,1772,1973,etc
video037,1973,2140,SVVD
video037,2140,2158,etc
video037,2158,2247,NVB
video037,2247,2287,etc
video037,2287,2460,NVB
video037,2460,2987,etc
video037,2987,3042,DVC
video037,3042,3137,PA
video037,3137,3256,etc
video037,3256,4658,BNU
video037,4658,4797.173,etc
video038,0,444,etc
video038,444,1676,BN
video038,1676,1775,NVB
video038,1775,2515,SVVD
video038,2515,2635,etc
video038,2635,3081,NVB
video038,3081,4004,etc
video038,4004,4451,PA
video038,4451,4515,etc
video038,4515,5544,BNU
video038,5544,5553.214694,etc
video039,0,46,etc
video039,46,165,LN
video039,165,226,etc
video039,226,369,SVVD
video039,369,568,BN
video039,568,821,etc
video039,821,877,PA
video039,877,1400,BNU
video039,1400,1509.227392,etc
video040,0,2458,BNU
video040,2458,2477.011882,etc
video041,0,51,etc
video041,51,140,BNU
video041,140,277,etc
video041,277,1020,BNU
video041,1020,1162,etc
video041,1162,1410,BNU
video041,1410,1476,etc
video041,1476,2031,BNU
video041,2031,2174.061134,etc
video042,0,1495,etc
video042,1495,3113,SVVD
video042,3113,4809,etc
video042,4809,7539,BN
video042,7539,8565,etc
video042,8565,8829,NVB
video042,8829,8968,etc
video042,8968,9159,BN
video042,9159,9570,etc
video042,9570,9689,BN
video042,9689,10430,etc
video042,10430,12669,BNU
video042,12669,13191,etc
video042,13191,16279,LN
video042,16279,17268.63379,etc
video043,0,183,etc
video043,183,433,BN
video043,433,881,SVVD
video043,881,984,NVB
video043,984,1715,PA
video043,1715,2568.777143,BNU
video044,0,199,etc
video044,199,636,SVVD
video044,636,1421,PA
video044,1421,1642,DVC
video044,1642,1783,PA
video044,1783,2138,BN
video044,2138,2531,etc
video044,2531,2770,NVB
video044,2770,2975,DVC
video044,2975,3266,PA
video044,3266,3633,BNU
video044,3633,3718,etc
video044,3718,4564.323265,BNU
video045,0,402,etc
video045,402,492,BN
video045,492,516,SVVD
video045,516,798,NVB
video045,798,1021,PA
video045,1021,1355.209433,BNU
video046,0,444,etc
video046,444,654,BN
video046,654,759,SVVD
video046,759,1029,etc
video046,1029,1696,SVVD
video046,1696,1778,etc
video046,1778,2300,NVB
video046,2300,2489,PA
video046,2489,2603,etc
video046,2603,3573.80644,NVB
video047,0,47,etc
video047,47,166,LN
video047,166,252,etc
video047,252,610,BNU
video047,610,827,BN
video047,827,1317,SVVD
video047,1317,1487,NVB
video047,1487,1609,etc
video047,1609,1696,NVB
video047,1696,2108,etc
video047,2108,2754,BNU
video047,2754,2851.71229,etc
video048,0,586,etc
video048,586,715.9380648,BNU
video048,715.9380648,1342,etc
video048,1342,1996,BN
video048,1996,2261,PA
video048,2261,3601,SVVD
video048,3601,3725,NVB
video048,3725,4155,DVC
video048,4155,4616,etc
video048,4616,5889,BNU
video048,5889,6037.769,etc
video049,0,370.5156922,etc
video049,370.5156922,467,LN
video049,467,1091,etc
video049,1091,1249,BN
video049,1249,1692,SVVD
video049,1692,2183,etc
video049,2183,2329,PA
video049,2329,2417,etc
video049,2417,2667,PA
video049,2667,2860,etc
video049,2860,3976,BNU
video049,3976,4109.653333,etc
video050,0,385,etc
video050,385,4422,LN
video050,4422,4995,BN
video050,4995,5319,etc
video050,5319,5445,PA
video050,5445,5762,BN
video050,5762,6206,SVVD
video050,6206,7330,NVB
video050,7330,7593,DVC
video050,7593,7652,PA
video050,7652,7738,BNU
video050,7738,7786,NVB
video050,7786,7819,etc
video050,7819,8026,BNU
video050,8026,8289,etc
video050,8289,8826,BNU
video050,8826,9145,etc
video050,9145,9351.372335,BNU
video051,0,764,etc
video051,764,1003,BN
video051,1003,1526,etc
video051,1526,2735,SVVD
video051,2735,3582,etc
video051,3582,4157,NVB
video051,4157,4282,etc
video051,4282,4650,NVB
video051,4650,4925,etc
video051,4925,4974,NVB
video051,4974,5665,etc
video051,5665,6080,PA
video051,6080,7111,BNU
video051,7111,7164.099048,etc
video052,0,775,etc
video052,775,1095,BN
video052,1095,1343,SVVD
video052,1343,1849,etc
video052,1849,2536,NVB
video052,2536,2588,etc
video052,2588,2827,PA
video052,2827,3605,etc
video052,3605,4714,BNU
video052,4714,6576.82,etc
video053,0,503,etc
video053,503,679,BN
video053,679,1398,SVVD
video053,1398,1860,etc
video053,1860,3609,NVB
video053,3609,3897,etc
video053,3897,3994,PA
video053,3994,5278.49941,BNU
video054,0,998,etc
video054,998,1117,LN
video054,1117,1154,etc
video054,1154,1283,LN
video054,1283,1894,etc
video054,1894,2710,BN
video054,2710,3547,etc
video054,3547,4013,SVVD
video054,4013,4381,etc
video054,4381,5042,NVB
video054,5042,5104,etc
video054,5104,5820,NVB
video054,5820,6621,etc
video054,6621,6773,DVC
video054,6773,6841,etc
video054,6841,7101,NVB
video054,7101,7221,etc
video054,7221,7378,PA
video054,7378,7505,etc
video054,7505,8870,BNU
video054,8870,9007.182948,etc
video055,0,159,etc
video055,159,850,SVVD
video055,850,1491,etc
video055,1491,3433,LN
video055,3433,3535,etc
video055,3535,4065,BN
video055,4065,4161,etc
video055,4161,4827,NVB
video055,4827,5002,PA
video055,5002,5355,etc
video055,5355,5960,BNU
video055,5960,6103.620499,etc
video056,0,548,etc
video056,548,604,DVC
video056,604,811,etc
video056,811,1132,BN
video056,1132,1748,SVVD
video056,1748,1854,etc
video056,1854,2001,NVB
video056,2001,2099,etc
video056,2099,2164,NVB
video056,2164,2366,PA
video056,2366,2909.042358,BNU
video057,0,166,etc
video057,166,788,SVVD
video057,788,1218,etc
video057,1218,3501,LN
video057,3501,4044,etc
video057,4044,4756,BN
video057,4756,6129,NVB
video057,6129,6148,etc
video057,6148,6286,PA
video057,6286,6363,etc
video057,6363,7884,BNU
video057,7884,7989.034376,etc
video058,0,938,etc
video058,938,1597,BN
video058,1597,2355,SVVD
video058,2355,2967,NVB
video058,2967,3128,PA
video058,3128,4322.604,BNU
video059,0,298,SVVD
video059,298,536,etc
video059,536,829,BN
video059,829,1048,NVB
video059,1048,1179,PA
video059,1179,1597.138141,BNU
video062,0,280,etc
video062,280,2602,LN
video062,2602,2764.382041,etc
video063,0,40,etc
video063,40,232,BN
video063,232,542,SVVD
video063,542,787,etc
video063,787,1729,NVB
video063,1729,2006,PA
video063,2006,2059,etc
video063,2059,2836,BNU
video063,2836,3471.569,etc
video064,0,1490,etc
video064,1490,2871,LN
video064,2871,3399,etc
video064,3399,3907,NVB
video064,3907,4308,BN
video064,4308,4822,SVVD
video064,4822,5509,NVB
video064,5509,5672,PA
video064,5672,5880,etc
video064,5880,6301,DVC
video064,6301,7650,BNU
video064,7650,8250.769705,etc
video065,0,621,etc
video065,621,1303,SVVD
video065,1303,2224,etc
video065,2224,2323,NVB
video065,2323,2581,etc
video065,2581,2876,BN
video065,2876,3199,etc
video065,3199,3225,PA
video065,3225,3399,etc
video065,3399,3449,PA
video065,3449,4843,etc
video065,4843,6139,BNU
video065,6139,7017.674014,etc
video066,0,244,etc
video066,244,266,DVC
video066,266,421,etc
video066,421,435,PA
video066,435,707,BN
video066,707,1119,SVVD
video066,1119,1246,NVB
video066,1246,1284,etc
video066,1284,1409,NVB
video066,1409,1545,etc
video066,1545,1712,DVC
video066,1712,1749,etc
video066,1749,2315.099138,BNU
video067,0,490,etc
video067,490,717,BN
video067,717,1022,SVVD
video067,1022,1184,etc
video067,1184,1744,NVB
video067,1744,1873,DVC
video067,1873,2092,etc
video067,2092,2172,PA
video067,2172,2194,etc
video067,2194,2931,BNU
video067,2931,2960.846077,etc
video068,0,2929,etc
video068,2929,4583,BN
video068,4583,5436,SVVD
video068,5436,5748,etc
video068,5748,7273,NVB
video068,7273,8110,PA
video068,8110,8420,etc
video068,8420,10507,BNU
video068,10507,10623.269,etc
video069,0,639,SVVD
video069,639,2348,etc
video069,2348,2816,BN
video069,2816,2971,etc
video069,2971,3274,PA
video069,3274,3382,etc
video069,3382,5322,BNU
video069,5322,5578.849524,etc
video071,0,442,etc
video071,442,505,BN
video071,505,546,etc
video071,546,574,SVVD
video071,574,676,etc
video071,676,760,NVB
video071,760,802,etc
video071,802,812,NVB
video071,812,843,etc
video071,843,865,DVC
video071,865,925,NVB
video071,925,1025,PA
video071,1025,1064,etc
video071,1064,1100,LN
video071,1100,1117,etc
video071,1117,1469,BNU
video071,1469,1567.486259,etc
video072,0,77,etc
video072,77,201,SVVD
video072,201,311,etc
video072,311,360,DVC
video072,360,487,etc
video072,487,709,BN
video072,709,789,SVVD
video072,789,843,NVB
video072,843,886,SVVD
video072,886,910,NVB
video072,910,962,DVC
video072,962,1036,PA
video072,1036,1200.634195,BNU
video073,0,1095,etc
video073,1095,1249,LN
video073,1249,1733,etc
video073,1733,2477,BN
video073,2477,2564,NVB
video073,2564,3143,SVVD
video073,3143,3226,etc
video073,3226,3551,NVB
video073,3551,3611,PA
video073,3611,3705,etc
video073,3705,4363.494,BNU
video074,0,172,etc
video074,172,322,BN
video074,322,361,etc
video074,361,377,SVVD
video074,377,401,etc
video074,401,431,SVVD
video074,431,619,etc
video074,619,641,NVB
video074,641,700,etc
video074,700,740,NVB
video074,740,856,etc
video074,856,903,PA
video074,903,958,etc
video074,958,998,LN
video074,998,1039,etc
video074,1039,1064,LN
video074,1064,1186,etc
video074,1186,1463,BNU
video074,1463,1487.075556,etc
video075,0,208,etc
video075,208,461,BN
video075,461,716,SVVD
video075,716,830,etc
video075,830,1107,NVB
video075,1107,1228,etc
video075,1228,1312,PA
video075,1312,1697.332245,BNU
video076,0,767,etc
video076,767,825,DVC
video076,825,917,etc
video076,917,1614,BN
video076,1614,2108,SVVD
video076,2108,2440,NVB
video076,2440,2633,PA
video076,2633,3438.248345,BNU
video077,0,694,etc
video077,694,980,BN
video077,980,1110,etc
video077,1110,1311,SVVD
video077,1311,1547,etc
video077,1547,1682,SVVD
video077,1682,1881,etc
video077,1881,1980,SVVD
video077,1980,2146,etc
video077,2146,2173,NVB
video077,2173,2229,etc
video077,2229,2361,NVB
video077,2361,2424,etc
video077,2424,2471,DVC
video077,2471,2494,etc
video077,2494,2541,PA
video077,2541,2621,etc
video077,2621,4089,BNU
video077,4089,4404.384218,etc
video079,0,493,etc
video079,493,734,PA
video079,734,789,etc
video079,789,872,BN
video079,872,954,etc
video079,954,1020,PA
video079,1020,1052,etc
video079,1052,1311.184399,BNU
video081,0,37,etc
video081,37,417,SVVD
video081,417,1244,etc
video081,1244,1642,BN
video081,1642,1678,etc
video081,1678,1729,SVVD
video081,1729,1983,NVB
video081,1983,2279,etc
video081,2279,2470,NVB
video081,2470,2651,etc
video081,2651,2669,NVB
video081,2669,2919,etc
video081,2919,3160,PA
video081,3160,3991,BNU
video081,3991,4109.676553,etc
video082,0,246,etc
video082,246,782,LN
video082,782,1190,BN
video082,1190,2023,NVB
video082,2023,2373,PA
video082,2373,2573,etc
video082,2573,3729.589116,BNU
video083,0,2593,etc
video083,2593,3327,BN
video083,3327,3450,etc
video083,3450,4420,SVVD
video083,4420,5996,etc
video083,5996,6146,PA
video083,6146,6671,etc
video083,6671,8049,BNU
video083,8049,8198.385488,etc
video084,0,99,etc
video084,99,233,DVC
video084,233,430,etc
video084,430,535,DVC
video084,535,870,BNU
video084,870,1019,etc
video084,1019,1050,DVC
video084,1050,1218,PA
video084,1218,1251,etc
video084,1251,1439,BN
video084,1439,1982,SVVD
video084,1982,2070,NVB
video084,2070,2293,SVVD
video084,2293,2508,etc
video084,2508,3254,BNU
video084,3254,3573.505,etc
video085,0,80,etc
video085,80,302,SVVD
video085,302,563,etc
video085,563,860,LN
video085,860,1236,etc
video085,1236,1262,DVC
video085,1262,1296,etc
video085,1296,1652,BN
video085,1652,1680,etc
video085,1680,2052,NVB
video085,2052,2144,PA
video085,2144,2347.653514,BNU
video086,0,220,etc
video086,220,652,SVVD
video086,652,1593,etc
video086,1593,1861,BN
video086,1861,2400,SVVD
video086,2400,2942,NVB
video086,2942,3247,PA
video086,3247,4018.701,BNU
video087,0,62,etc
video087,62,342,SVVD
video087,342,660,etc
video087,660,1118,NVB
video087,1118,1264,etc
video087,1264,1535,BN
video087,1535,1651,etc
video087,1651,2112,NVB
video087,2112,2205,PA
video087,2205,3132.720181,etc
video088,0,837,etc
video088,837,1133,BN
video088,1133,2630,NVB
video088,2630,3210,etc
video088,3210,3447,PA
video088,3447,4555.894422,BNU
video089,0,194,etc
video089,194,1051,SVVD
video089,1051,2521.524535,etc
video091,0,422,SVVD
video091,422,1079,NVB
video091,1079,1426,etc
video091,1426,1579,BN
video091,1579,1673,PA
video091,1673,2189.200544,BNU
video092,0,426,BN
video092,426,1056,SVVD
video092,1056,1418,NVB
video092,1418,1778,etc
video092,1778,2007,PA
video092,2007,2109,etc
video092,2109,3130.909025,BNU
video093,0,180,etc
video093,180,326,BN
video093,326,479,SVVD
video093,479,1088,NVB
video093,1088,1126,PA
video093,1126,1196,etc
video093,1196,1576,BNU
video093,1576,1596.395102,etc
video094,0,572,BN
video094,572,804,etc
video094,804,1971.37415,BNU
video095,0,713,etc
video095,713,1423,SVVD
video095,1423,3136,etc
video095,3136,3680,BN
video095,3680,4214,NVB
video095,4214,4439,PA
video095,4439,5616.81415,BNU
video096,0,97,etc
video096,97,474,SVVD
video096,474,1209,etc
video096,1209,1625,BN
video096,1625,1667,etc
video096,1667,2197,NVB
video096,2197,2366,DVC
video096,2366,2517,etc
video096,2517,2624,PA
video096,2624,2682,etc
video096,2682,3485,BNU
video096,3485,3645.57932,etc
video097,0,154,etc
video097,154,804,SVVD
video097,804,1958,etc
video097,1958,2783,BN
video097,2783,3515,NVB
video097,3515,3735,PA
video097,3735,3800,etc
video097,3800,4589.912,BNU
video098,0,395,SVVD
video098,395,1046,etc
video098,1046,1743,BN
video098,1743,3032,NVB
video098,3032,3181,etc
video098,3181,3331,PA
video098,3331,3496,etc
video098,3496,3889,PA
video098,3889,5257.044172,BNU
video099,0,48,etc
video099,48,462,SVVD
video099,462,1533,etc
video099,1533,2138,BN
video099,2138,2982,NVB
video099,2982,3431,etc
video099,3431,3716,PA
video099,3716,3723,etc
video099,3723,4473,LN
video099,4473,5645.653,BNU
video100,0,12,etc
video100,12,380,SVVD
video100,380,1126,etc
video100,1126,1618,BN
video100,1618,2302,NVB
video100,2302,2464,etc
video100,2464,2721,DVC
video100,2721,2996,etc
video100,2996,3368,PA
video100,3368,4409.493,BNU
video101,0,61,etc
video101,61,438,SVVD
video101,438,1143,etc
video101,1143,1691,BN
video101,1691,1727,etc
video101,1727,2599,NVB
video101,2599,2928,etc
video101,2928,3048,PA
video101,3048,3205,etc
video101,3205,3531,PA
video101,3531,3580,etc
video101,3580,4408,BNU
video101,4408,4477,etc
video101,4477,4499,BNU
video101,4499,4520.67,etc
video102,0,712,SVVD
video102,712,1326,etc
video102,1326,2934,BN
video102,2934,5031,NVB
video102,5031,5293,etc
video102,5293,5557,DVC
video102,5557,6249,NVB
video102,6249,6531,etc
video102,6531,7627.941,BNU
video103,0,128,etc
video103,128,453,SVVD
video103,453,1557,etc
video103,1557,1975,BN
video103,1975,2079,etc
video103,2079,2517,NVB
video103,2517,2818,etc
video103,2818,2913,PA
video103,2913,3044,etc
video103,3044,3369,PA
video103,3369,4256.867846,BNU
video104,0,78,etc
video104,78,457,SVVD
video104,457,1498,etc
video104,1498,2097,BN
video104,2097,2526,NVB
video104,2526,2637,etc
video104,2637,2691,DVC
video104,2691,2980,etc
video104,2980,3059,PA
video104,3059,4079,BNU
video104,4079,4102.246168,etc
video105,0,13,etc
video105,13,527,SVVD
video105,527,1267,etc
video105,1267,1582,BN
video105,1582,1622,etc
video105,1622,2112,NVB
video105,2112,2176,etc
video105,2176,2249,NVB
video105,2249,2468,etc
video105,2468,2503,DVC
video105,2503,2747,PA
video105,2747,3605.177,BNU
video106,0,110,etc
video106,110,515,SVVD
video106,515,1242,etc
video106,1242,1806,BN
video106,1806,1880,etc
video106,1880,2835,NVB
video106,2835,3020,etc
video106,3020,3467,PA
video106,3467,3475,etc
video106,3475,4411.838,BNU
video107,0,1001,etc
video107,1001,1128,SVVD
video107,1128,1242,PA
video107,1242,1378,SVVD
video107,1378,1610,BN
video107,1610,1913,etc
video107,1913,2016,NVB
video107,2016,2043,DVC
video107,2043,2476,BNU
video107,2476,2646.1,etc
video108,0,140,etc
video108,140,362,SVVD
video108,362,671,NVB
video108,671,777,etc
video108,777,1138,PA
video108,1138,1216,etc
video108,1216,1645,BNU
video108,1645,1708.339,etc
video109,0,642,etc
video109,642,680,PA
video109,680,721,etc
video109,721,1239,BNU
video109,1239,1455.589297,etc
video110,0,581,etc
video110,581,755,BN
video110,755,775,etc
video110,775,937,SVVD
video110,937,1208,NVB
video110,1208,1217,etc
video110,1217,1273,PA
video110,1273,1343,etc
video110,1343,1621,BNU
video110,1621,1632.757551,etc
video111,0,728,etc
video111,728,1460,BN
video111,1460,1889,SVVD
video111,1889,2180,NVB
video111,2180,2187,etc
video111,2187,2303,PA
video111,2303,2370,etc
video111,2370,3055,BNU
video111,3055,3094.198277,etc
video112,0,710,etc
video112,710,1826,LN
video112,1826,2471,etc
video112,2471,3323,LN
video112,3323,3965,etc
video112,3965,4223,NVB
video112,4223,4408,etc
video112,4408,4450,NVB
video112,4450,4518,etc
video112,4518,4779,BN
video112,4779,5731,etc
video112,5731,6606,NVB
video112,6606,6780,PA
video112,6780,6867,DVC
video112,6867,7918.492,BNU
video113,0,1055,etc
video113,1055,1490,BN
video113,1490,1577,etc
video113,1577,1803,SVVD
video113,1803,1942,etc
video113,1942,2165,NVB
video113,2165,2331,etc
video113,2331,2378,NVB
video113,2378,2430,etc
video113,2430,2774,PA
video113,2774,3077,LN
video113,3077,3196,etc
video113,3196,3435,LN
video113,3435,3542,etc
video113,3542,4285,BNU
video113,4285,4382.348481,etc
video114,0,1420,etc
video114,1420,1479,PA
video114,1479,1491,etc
video114,1491,1710,BNU
video114,1710,2215.903492,etc
video115,0,56,etc
video115,56,179,SVVD
video115,179,423,etc
video115,423,1240,NVB
video115,1240,1643,etc
video115,1643,1801,BN
video115,1801,1818,etc
video115,1818,1895,NVB
video115,1895,1981,PA
video115,1981,1986.56,etc
video116,0,831,etc
video116,831,1590,SVVD
video116,1590,1628,etc
video116,1628,6019,LN
video116,6019,7945,etc
video116,7945,8457,BN
video116,8457,8598,etc
video116,8598,9742,NVB
video116,9742,10006,etc
video116,10006,10528,PA
video116,10528,10767,etc
video116,10767,12217,BNU
video116,12217,13011.32481,etc
video117,0,1406.641,BNU
video118,0,72,etc
video118,72,139,BN
video118,139,149,NVB
video118,149,155,etc
video118,155,212,BNU
video118,212,3845.34059,etc
video119,0,152,etc
video119,152,334,SVVD
video119,334,573,etc
video119,573,902,LN
video119,902,976,PA
video119,976,1089,etc
video119,1089,1728,NVB
video119,1728,1788,DVC
video119,1788,1881,etc
video119,1881,2013,NVB
video119,2013,2033,PA
video119,2033,2056,etc
video119,2056,2358.938413,BNU
video120,0,329,etc
video120,329,781,BN
video120,781,1108,SVVD
video120,1108,1467,etc
video120,1467,1814,NVB
video120,1814,1872,etc
video120,1872,2310,NVB
video120,2310,2468,PA
video120,2468,2755,etc
video120,2755,3165,PA
video120,3165,4285.730249,BNU
video121,0,506,etc
video121,506,827,SVVD
video121,827,1078,etc
video121,1078,1288,NVB
video121,1288,1331,etc
video121,1331,1445,BN
video121,1445,1512,PA
video121,1512,1520,etc
video121,1520,1958,BNU
video121,1958,1968,etc
video121,1968,2233,LN
video121,2233,2321.043447,etc
video122,0,132,etc
video122,132,657,SVVD
video122,657,1196,etc
video122,1196,1804,BN
video122,1804,1903,DVC
video122,1903,1964,NVB
video122,1964,2031,PA
video122,2031,2373.822,BNU
video123,0,272,SVVD
video123,272,494,LN
video123,494,1097,etc
video123,1097,1503,BN
video123,1503,2229,etc
video123,2229,2581,NVB
video123,2581,2776,etc
video123,2776,3058,NVB
video123,3058,3101,etc
video123,3101,3228,PA
video123,3228,3654,etc
video123,3654,5135,BNU
video123,5135,5212.32254,etc
video124,0,1272,etc
video124,1272,1888,LN
video124,1888,1940,etc
video124,1940,3082,BN
video124,3082,3968,SVVD
video124,3968,4176,etc
video124,4176,6382,NVB
video124,6382,6627,etc
video124,6627,7104,PA
video124,7104,7445,etc
video124,7445,7479,PA
video124,7479,7870,etc
video124,7870,11151,BNU
video124,11151,11324.76662,etc
video125,0,1028,etc
video125,1028,1582,SVVD
video125,1582,2107,etc
video125,2107,2263,PA
video125,2263,2766,etc
video125,2766,3771,BNU
video125,3771,5426.898141,etc
video126,0,870,etc
video126,870,1104,BN
video126,1104,1178,etc
video126,1178,1459,SVVD
video126,1459,1509,etc
video126,1509,1607,PA
video126,1607,1710,etc
video126,1710,1961,BNU
video126,1961,2241.887,etc
video127,0,1495,etc
video127,1495,2753,SVVD
video127,2753,2984,etc
video127,2984,3260,SVVD
video127,3260,3654,BN
video127,3654,3781,SVVD
video127,3781,4803,NVB
video127,4803,4848,SVVD
video127,4848,5334,NVB
video127,5334,5560,PA
